threshold,cloningTime,versionedTime,persistentTime,coloredTime
264.66197999999997,185,189,164,70
264.99197000000004,185,189,164,70
265.32196,185,189,164,70
265.65195,185,189,164,70
265.98194,185,189,164,70
266.31192999999996,185,189,164,70
266.64191999999997,185,189,164,70
266.97191000000004,185,189,164,70
267.3019,185,189,164,70
267.63189,185,189,164,70
267.96188,185,189,164,70
268.29186999999996,185,189,164,70
268.62185999999997,185,189,164,70
268.95185000000004,185,189,164,70
269.28184,185,189,164,70
269.61183,185,189,164,70
269.94182,185,189,164,70
270.27181,185,189,164,70
270.60179999999997,185,189,164,70
270.93179,185,189,164,70
271.26178000000004,185,189,164,70
271.59177,185,189,164,70
271.92176,185,189,164,70
272.25175,185,189,164,70
272.58173999999997,185,189,164,70
272.91173,185,189,164,70
273.24172000000004,185,189,164,70
273.57171,185,189,164,70
273.9017,185,189,164,70
274.23169,185,189,164,70
274.56167999999997,185,189,164,70
274.89167,185,189,164,70
275.22166000000004,185,189,164,70
275.55165,185,189,164,70
275.88164,185,189,164,70
276.21163,185,189,164,70
276.54161999999997,185,189,164,70
276.87161,185,189,164,70
277.20160000000004,185,189,164,70
277.53159,185,189,164,70
277.86158,185,189,164,70
278.19157,185,189,164,70
278.52155999999997,185,189,164,70
278.85155,185,189,164,70
279.18154,185,189,164,70
279.51153,185,189,164,70
279.84152,185,189,164,70
280.17151,185,189,164,70
280.50149999999996,185,189,164,70
280.83149,185,189,164,70
281.16148,185,189,164,70
281.49147000000005,185,189,164,70
281.82146,185,189,164,70
282.15145,185,189,164,70
282.48144,185,189,164,70
282.81143,185,189,164,70
283.14142,185,189,164,70
283.47141000000005,185,189,164,70
283.8014,185,189,164,70
284.13139,185,189,164,70
284.46138,185,189,164,70
284.79137,185,189,164,70
285.12136,185,189,164,70
285.45135000000005,185,189,164,70
285.78134,185,189,164,70
286.11133,185,189,164,70
286.44132,185,189,164,70
286.77130999999997,185,189,164,70
287.1013,185,189,164,70
287.43129,185,189,164,70
287.76128,185,189,164,70
288.09127,185,189,164,70
288.42126,185,189,164,70
288.75124999999997,185,189,164,70
289.08124,185,189,164,70
289.41123,185,189,164,70
289.74122,185,189,164,70
290.07121,185,189,164,70
290.4012,185,189,164,70
290.73118999999997,185,189,164,70
291.06118,185,189,164,70
291.39117,185,189,164,70
291.72116,185,189,164,70
292.05115,185,189,164,70
292.38114,185,189,164,70
292.71112999999997,185,189,164,70
293.04112,185,189,164,70
293.37111,185,189,164,70
293.70110000000005,185,189,164,70
294.03109,185,189,164,70
294.36108,185,189,164,70
294.69107,185,189,164,70
295.02106,185,189,164,70
295.35105,185,189,164,70
295.68104000000005,185,189,164,70
296.01103,185,189,164,70
296.34102,185,189,164,70
296.67101,185,189,164,70
297.001,185,189,164,70
297.33099,185,189,164,70
297.66098,185,189,164,70
297.99097,185,189,164,70
298.32096,185,189,164,70
298.65095,185,189,164,70
298.98094,185,189,164,70
299.31093,185,189,164,70
299.64092,185,189,164,70
299.97091,185,189,164,70
300.3009,187,190,169,75
300.63089,187,190,169,75
300.96088,187,190,169,75
301.29087,187,190,169,75
301.62086,187,190,169,75
301.95085,187,190,169,75
302.28084,187,190,169,75
302.61083,187,190,169,75
302.94082,187,190,169,75
303.27081,187,190,169,75
303.6008,187,190,169,75
303.93079,187,190,169,75
304.26078,187,190,169,75
304.59077,187,190,169,75
304.92076,187,190,169,75
305.25075,187,190,169,75
305.58074,187,190,169,75
305.91072999999994,187,190,169,75
306.24072,187,190,169,75
306.57071,187,190,169,75
306.90070000000003,187,190,169,75
307.23069,187,190,169,75
307.56068,187,190,169,75
307.89067,187,190,169,75
308.22066,187,190,169,75
308.55065,187,190,169,75
308.88064,187,190,169,75
309.21063,187,190,169,75
309.54062,187,190,169,75
309.87061,187,190,169,75
310.2006,187,190,169,75
310.53059,187,190,169,75
310.86058,187,190,169,75
311.19057,187,190,169,75
311.52056,187,190,169,75
311.85055,187,190,169,75
312.18054,187,190,169,75
312.51053,187,190,169,75
312.84052,187,190,169,75
313.17051,187,190,169,75
313.5005,187,190,169,75
313.83049,187,190,169,75
314.16047999999995,187,190,169,75
314.49047,187,190,169,75
314.82046,187,190,169,75
315.15045,198,198,198,80
315.48044,198,198,198,80
315.81043,198,198,198,80
316.14041999999995,198,198,198,80
316.47041,198,198,198,80
316.8004,198,198,198,80
317.13039,198,198,198,80
317.46038,198,198,198,80
317.79037,198,198,198,80
318.12036,198,198,198,80
318.45035,198,198,198,80
318.78034,198,198,198,80
319.11033000000003,198,198,198,80
319.44032,198,198,198,80
